StationName,City,State,PM2.5,PM10,SO2,NO2,O3,CO,AQI
"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,Delhi,98.72260047281318,211.9984988179672,17.56360520094562,64.38827423167848,38.70821513002367,1.628203309692672,221.25413711583926
"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,Karnataka,31.588019417475746,74.99502912621354,5.13735922330097,32.004893203883476,38.594349514563056,1.0009126213592237,90.36699029126214
"Kariavattom, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,Kerala,28.70330645161289,51.14596774193548,3.1778225806451608,14.54588709677419,37.46451612903226,0.49032258064516154,67.21774193548387
"Kurla, Mumbai - MPCB",Mumbai,Maharashtra,35.21935691318328,115.42118971061086,18.32514469453376,31.89491961414789,25.12012861736334,0.41726688102893905,122.94212218649518
"Lumpyngngad, Shillong - Meghalaya PCB",Shillong,Meghalaya,24.910656565656566,36.332020202020196,7.0342929292929295,2.8813636363636363,28.457575757575746,0.27035353535353523,54.10606060606061
"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,Delhi,93.05383990719254,204.80979118329464,14.91700696055685,58.85373549883991,31.75012761020883,1.4664269141531319,209.33758700696055
"Manali Village, Chennai - TNPCB",Chennai,Tamil Nadu,27.587397769516745,65.10672862453536,9.493903345724906,9.141970260223053,67.17133828996285,0.5995167286245351,106.50185873605948
"Mandir Marg, Delhi - DPCC",Delhi,Delhi,104.47690839694658,198.52180916030497,12.680541984732812,53.4508473282444,23.5124198473282,1.3436335877862586,222.0229007633588
"Maninagar, Ahmedabad - GPCB",Ahmedabad,Gujarat,49.679806094182815,113.63484764542939,66.00537396121881,72.49288088642669,45.376454293628825,17.779750692520775,375.32409972299166
"Mundka, Delhi - DPCC",Delhi,Delhi,123.71011560693647,271.2157514450868,17.4368641618497,37.066777456647436,28.99031791907512,1.37670520231214,269.84104046242777
"Muradpur, Patna - BSPCB",Patna,Bihar,51.30736263736262,127.55741758241757,5.127307692307693,32.49109890109889,12.086373626373629,0.9008791208791213,126.23626373626374
"Najafgarh, Delhi - DPCC",Delhi,Delhi,87.7308173076924,173.19305288461535,10.222307692307684,26.435312499999995,46.13402644230772,0.9474158653846152,205.7403846153846
"Narela, Delhi - DPCC",Delhi,Delhi,109.46514184397154,234.46346335697385,13.21797872340425,35.8748699763593,39.52059101654845,1.13854609929078,236.4728132387707
"Nehru Nagar, Delhi - DPCC",Delhi,Delhi,117.89702797202797,217.57487179487174,13.766247086247095,44.645675990675954,43.777459207459245,1.3733799533799522,239.01048951048952
"Okhla Phase-2, Delhi - DPCC",Delhi,Delhi,103.77503649635044,223.1519829683701,13.054367396593683,38.55026763990267,25.14377128953771,1.5038564476885647,223.8345498783455
"Patparganj, Delhi - DPCC",Delhi,Delhi,94.57908984830792,186.84777129521598,4.793885647607937,23.98187864644108,28.7022403733956,1.0739323220536745,203.42240373395566
"Plammoodu, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,Kerala,27.59295145631069,52.80283495145624,6.008524271844664,9.304398058252412,35.16524271844657,1.0047087378640767,75.88640776699029
"Police Commissionerate, Jaipur - RSPCB",Jaipur,Rajasthan,66.20024364406778,135.04080508474578,11.247415254237302,41.57655720338975,40.20930084745762,0.8593538135593224,148.4989406779661
"Powai, Mumbai - MPCB",Mumbai,Maharashtra,32.44654545454546,68.6806493506493,7.383324675324672,10.477064935064936,23.88368831168831,0.798285714285713,82.66493506493507
"Punjabi Bagh, Delhi - DPCC",Delhi,Delhi,121.52563571428587,124.73799285714304,19.778278571428597,72.33275714285715,233.44470714285734,1.6015928571428568,296.28214285714284
